raw_material,submitted_taxon,wd_taxon_id,organ,broad_organ,tissue,subsystem
V114349GP-01,Flacourtia jangomas,Q1900509,leaves,photosynthetic,green_tissue,aboveground
V114332GP-01,Eriocaulon sexangulare,Q10905591,flowers,reproductive,green_tissue,aboveground
V114311GP-01,Desmodium heterophyllum,Q10770714,multiple,roots,root_tissue,belowground
V114352GP-01,Garcinia hanburyi,Q767747,green_stems,green_vegetative,green_tissue,aboveground
V114307GP-01,Dendrolobium ursinum,Q15532771,leaves,photosynthetic,green_tissue,aboveground
V114339GP-01,Eurycoma longifolia,Q311710,multiple,roots,root_tissue,belowground
V114329GP-01,Dracaena cambodiana,Q11150362,multiple,multiple,multiple,aboveground
V114337GP-01,Euonymus indicus,Q160578,bark,woody_vegetative,woody_tissue,aboveground
V114331GP-01,Drosera burmannii,Q104252526,multiple,multiple,multiple,unkown
V114296GP-01,Curcuma alismatifolia,Q633124,multiple,roots,root_tissue,belowground
V114305GP-01,Dendrolobium lanceolatum,Q10906362,leaves,photosynthetic,green_tissue,aboveground
V114285GP-01,Colona auriculata,Q15362596,fruits,reproductive,green_tissue,aboveground
V114293GP-01,Crateva adansonii,Q15545890,leaves,photosynthetic,green_tissue,aboveground
V114303GP-01,Dalbergia bariensis,Q5210247,leaves,photosynthetic,green_tissue,aboveground
V114343GP-01,Ficus altissima,Q4921039,green_stems,green_vegetative,green_tissue,aboveground
V114294GP-01,Crateva adansonii,Q15545890,green_stems,green_vegetative,green_tissue,aboveground
V114310GP-01,Desmodium heterophyllum,Q10770714,multiple,multiple,multiple,aboveground
V114357GP-01,Garcinia mangostana,Q170662,leaves,photosynthetic,green_tissue,aboveground
V114297GP-01,Curcuma zedoaria,Q206733,leaves,photosynthetic,green_tissue,aboveground
V114302GP-01,Dacrydium elatum,Q5207749,leaves,photosynthetic,green_tissue,aboveground
V114287GP-01,Connarus semidecandrus,Q15583684,green_stems,green_vegetative,green_tissue,aboveground
V114318GP-01,Dillenia pentagyna,Q10960107,green_stems,green_vegetative,green_tissue,aboveground
V114350GP-01,Flacourtia jangomas,Q1900509,green_stems,green_vegetative,green_tissue,aboveground
V114295GP-01,Curcuma alismatifolia,Q633124,leaves,photosynthetic,green_tissue,aboveground
V114336GP-01,Melicope pahangensis,Q15390964,leaves,photosynthetic,green_tissue,aboveground
V114324GP-01,Diospyros decandra,Q4925668,multiple,roots,root_tissue,belowground
V114309GP-01,Derris scandens,Q91473446,multiple,multiple,multiple,aboveground
V114333GP-01,Erythrina fusca,Q1247964,leaves,photosynthetic,green_tissue,aboveground
V114355GP-01,Garcinia lanessanii,Q15391372,green_stems,green_vegetative,green_tissue,aboveground
V114320GP-01,Diospyros pilosanthera,Q15340524,green_stems,green_vegetative,green_tissue,aboveground
V114289GP-01,Corchorus capsularis,Q3190566,leaves,photosynthetic,green_tissue,aboveground
V114317GP-01,Dillenia pentagyna,Q10960107,leaves,photosynthetic,green_tissue,aboveground
V114344GP-01,Ficus altissima,Q4921039,leaves,photosynthetic,green_tissue,aboveground
V114300GP-01,Cycas siamensis,Q6855658,multiple,roots,root_tissue,belowground
V114356GP-01,Garcinia mangostana,Q170662,bark,woody_vegetative,woody_tissue,aboveground
V114284GP-01,Colona auriculata,Q15362596,green_stems,green_vegetative,green_tissue,aboveground
V114327GP-01,Dolichandrone columnaris,Q15549038,green_stems,green_vegetative,green_tissue,aboveground
V114286GP-01,Combretum quadrangulare,Q5150965,fruits,reproductive,green_tissue,aboveground
V114326GP-01,Dolichandrone columnaris,Q15549038,leaves,photosynthetic,green_tissue,aboveground
V114304GP-01,Dalbergia lanceolaria,Q15531815,green_stems,green_vegetative,green_tissue,aboveground
V114348GP-01,Ficus racemosa,Q713794,leaves,photosynthetic,green_tissue,aboveground
V114312GP-01,Desmos lomentaceus,,leaves,photosynthetic,green_tissue,aboveground
V114353GP-01,Garcinia hanburyi,Q767747,leaves,photosynthetic,green_tissue,aboveground
V114340GP-01,Eurycoma longifolia,Q311710,leaves,photosynthetic,green_tissue,aboveground
V114301GP-01,Dacrydium elatum,Q5207749,bark,woody_vegetative,woody_tissue,aboveground
V114299GP-01,Cycas siamensis,Q6855658,green_stems,green_vegetative,green_tissue,aboveground
V114335GP-01,Melicope pahangensis,Q15390964,green_stems,green_vegetative,green_tissue,aboveground
V114341GP-01,Citrus lucida,Q21247907,leaves,photosynthetic,green_tissue,aboveground
V114328GP-01,Dolichandrone columnaris,Q15549038,bark,woody_vegetative,woody_tissue,aboveground
V114330GP-01,Dracaena cambodiana,Q11150362,multiple,roots,root_tissue,belowground
V114342GP-01,Citrus lucida,Q21247907,green_stems,green_vegetative,green_tissue,aboveground
V114351GP-01,Flagellaria indica,Q3336886,multiple,multiple,multiple,aboveground
V114321GP-01,Diospyros pilosanthera,Q15340524,leaves,photosynthetic,green_tissue,aboveground
V114362GP-01,Gardenia obtusifolia,Q15455499,bark,woody_vegetative,woody_tissue,aboveground
V114354GP-01,Garcinia lanessanii,Q15391372,leaves,photosynthetic,green_tissue,aboveground
V114361GP-01,Gardenia obtusifolia,Q15455499,green_stems,green_vegetative,green_tissue,aboveground
V114290GP-01,Corchorus capsularis,Q3190566,green_stems,green_vegetative,green_tissue,aboveground
V114306GP-01,Dendrolobium lanceolatum,Q10906362,green_stems,green_vegetative,green_tissue,aboveground
V114314GP-01,Dillenia hookeri,Q17398344,multiple,multiple,multiple,aboveground
V114346GP-01,Ficus hirta,Q15224195,bark,woody_vegetative,woody_tissue,aboveground
V114322GP-01,Diospyros decandra,Q4925668,leaves,photosynthetic,green_tissue,aboveground
V114291GP-01,Corchorus capsularis,Q3190566,fruits,reproductive,green_tissue,aboveground
V114323GP-01,Diospyros decandra,Q4925668,green_stems,green_vegetative,green_tissue,aboveground
V114347GP-01,Ficus racemosa,Q713794,green_stems,green_vegetative,green_tissue,aboveground
V114363GP-01,Helicteres hirsuta,Q15234525,multiple,roots,root_tissue,belowground
V114315GP-01,Dillenia obovata,Q17398382,leaves,photosynthetic,green_tissue,aboveground
V114226GP-01,Ampelocissus arachnoidea,Q15558429,green_stems,green_vegetative,green_tissue,aboveground
V114268GP-01,Casearia grewiifolia,Q18119727,bark,woody_vegetative,woody_tissue,aboveground
V114256GP-01,Caesalpinia pulcherrima,Q1428973,leaves,photosynthetic,green_tissue,aboveground
V114242GP-01,Bauhinia pulla,Q15460723,leaves,photosynthetic,green_tissue,aboveground
V114236GP-01,Avicennia marina,Q312094,green_stems,green_vegetative,green_tissue,aboveground
V114203GP-01,Vepris macrophylla,Q15394395,leaves,photosynthetic,green_tissue,aboveground
V114277GP-01,Chonemorpha griffithii,Q18075107,green_stems,green_vegetative,green_tissue,aboveground
V114239GP-01,Baccaurea ramiflora,Q2993711,bark,woody_vegetative,woody_tissue,aboveground
V114229GP-01,Antidesma ghaesembilla,Q11084666,green_stems,green_vegetative,green_tissue,aboveground
